created_at,id,likes_count,mentions,replies_count,retweets_count,user_id
2020-08-19 18:08:57,1296147154369748993,2,giusepe,0,0,2494196617
2020-08-19 18:08:57,1296147154369748993,2, hashnode,0,0,2494196617
2020-08-19 18:07:26,1296146774445428739,1,iambolajiayo,0,0,1253125001307467776
2020-08-19 18:07:26,1296146774445428739,1, hashnode,0,0,1253125001307467776
2020-08-19 18:04:43,1296146090803290112,0,eazyjazz02,0,0,763755919
2020-08-19 18:04:43,1296146090803290112,0, hashnode,0,0,763755919
2020-08-19 17:53:41,1296143311460282369,2,lo_victoria2666,1,0,199406785
2020-08-19 17:53:41,1296143311460282369,2, hashnode,1,0,199406785
2020-08-19 17:50:12,1296142434301366277,2,hashnode,0,0,1015727234
2020-08-19 17:50:11,1296142429754544128,0,ksridhar02,0,0,947735374956134400
2020-08-19 17:50:11,1296142429754544128,0, hashnode,0,0,947735374956134400
2020-08-19 17:48:47,1296142079538548736,1,ikegahruth,0,0,1644829458
2020-08-19 17:48:47,1296142079538548736,1, hashnode,0,0,1644829458
2020-08-19 17:42:42,1296140547833372675,1,thepracticaldev,0,7,1291498662800035842
2020-08-19 17:42:42,1296140547833372675,1, codenewbies,0,7,1291498662800035842
2020-08-19 17:42:42,1296140547833372675,1, hashnode,0,7,1291498662800035842
2020-08-19 17:36:57,1296139100089532417,2,hashnode,0,6,1293963042141532161
2020-08-19 17:32:22,1296137949168295937,1,hashnode,0,0,951703359706157056
2020-08-19 17:07:39,1296131726268198912,0,hashnode,0,0,414633930
2020-08-19 16:46:40,1296126447384498183,0,iambolajiayo,0,0,1232070191594528770
2020-08-19 16:46:40,1296126447384498183,0, lo_victoria2666,0,0,1232070191594528770
2020-08-19 16:46:40,1296126447384498183,0, hashnode,0,0,1232070191594528770
2020-08-19 16:38:32,1296124399804915712,6,mycodinghabits,1,6,890634172716527616
2020-08-19 16:38:32,1296124399804915712,6, hashnode,1,6,890634172716527616
2020-08-19 16:23:33,1296120629951967233,3,janasunrise,0,1,1186326249456582656
2020-08-19 16:23:33,1296120629951967233,3, hashnode,0,1,1186326249456582656
2020-08-19 16:23:33,1296120629951967233,3, devcomin,0,1,1186326249456582656
2020-08-19 16:23:25,1296120597035048966,0,vishwamehta30,0,0,1079791187932921856
2020-08-19 16:23:25,1296120597035048966,0, hashnode,0,0,1079791187932921856
2020-08-19 16:12:37,1296117878043709442,5,hashnode,0,1,1277620258753245184
2020-08-19 15:58:51,1296114414312030214,0,hashnode,0,0,2465803069
2020-08-19 15:52:42,1296112865603198976,13,antonio_lofiego,0,9,606386162
2020-08-19 15:52:42,1296112865603198976,13, hashnode,0,9,606386162
2020-08-19 15:48:33,1296111819619213316,1,lo_victoria2666,0,0,1036720584011534336
2020-08-19 15:48:33,1296111819619213316,1, britnorcodes,0,0,1036720584011534336
2020-08-19 15:48:33,1296111819619213316,1, hashnode,0,0,1036720584011534336
2020-08-19 15:45:16,1296110995878948864,1,gyenabubakar,1,0,763755919
2020-08-19 15:45:16,1296110995878948864,1, britnorcodes,1,0,763755919
2020-08-19 15:45:16,1296110995878948864,1, hashnode,1,0,763755919
2020-08-19 15:40:47,1296109867149799424,3,britnorcodes,1,0,1036720584011534336
2020-08-19 15:40:47,1296109867149799424,3, lo_victoria2666,1,0,1036720584011534336
2020-08-19 15:40:47,1296109867149799424,3, hashnode,1,0,1036720584011534336
2020-08-19 15:31:38,1296107564686610434,5,hashnode,0,1,924756476
2020-08-19 15:20:03,1296104647933952002,2,vishwamehta30,0,0,811086947003355136
2020-08-19 15:20:03,1296104647933952002,2, hashnode,0,0,811086947003355136
2020-08-19 15:11:23,1296102466686193666,14,durucece,0,3,1660845722
2020-08-19 15:11:23,1296102466686193666,14, hashnode,0,3,1660845722
2020-08-19 15:00:39,1296099767831928833,6,tamrefrank,0,1,1121698024122724353
2020-08-19 15:00:39,1296099767831928833,6, hashnode,0,1,1121698024122724353
2020-08-19 14:47:59,1296096580110413825,3,dan_spratling,0,0,1241983442209738753
2020-08-19 14:47:59,1296096580110413825,3, thepracticaldev,0,0,1241983442209738753
2020-08-19 14:47:59,1296096580110413825,3, hashnode,0,0,1241983442209738753
2020-08-19 14:15:02,1296088289108275201,0,hashnode,0,0,66627682
2020-08-19 14:13:26,1296087886182273025,1,santoshyadavdev,0,0,240691155
2020-08-19 14:13:26,1296087886182273025,1, hashnode,0,0,240691155
2020-08-19 14:11:36,1296087422795743233,1,shanmukhateja94,1,0,1014175658199613440
2020-08-19 14:11:36,1296087422795743233,1, hashnode,1,0,1014175658199613440
2020-08-19 14:00:38,1296084661714771972,0,iambolajiayo,0,0,1013170735
2020-08-19 14:00:38,1296084661714771972,0, lo_victoria2666,0,0,1013170735
2020-08-19 14:00:38,1296084661714771972,0, hashnode,0,0,1013170735
2020-08-19 13:57:51,1296083962574512128,5,santoshyadavdev,2,2,240691155
2020-08-19 13:57:51,1296083962574512128,5, shanmukhateja94,2,2,240691155
2020-08-19 13:57:51,1296083962574512128,5, hashnode,2,2,240691155
2020-08-19 13:39:28,1296079336848621571,2,chris_beef,0,0,230185453
2020-08-19 13:39:28,1296079336848621571,2, dan_spratling,0,0,230185453
2020-08-19 13:39:28,1296079336848621571,2, thepracticaldev,0,0,230185453
2020-08-19 13:39:28,1296079336848621571,2, hashnode,0,0,230185453
2020-08-19 13:35:43,1296078393658802183,11,rishabk7,1,3,924756476
2020-08-19 13:35:43,1296078393658802183,11, hashnode,1,3,924756476
2020-08-19 13:31:07,1296077236487913472,0,hashnode,0,0,1288066061535809536
2020-08-19 13:31:05,1296077226325073920,0,hashnode,0,0,1288066061535809536
2020-08-19 13:18:25,1296074038565957633,1,devangelist__,0,0,382828503
2020-08-19 13:18:25,1296074038565957633,1, iambolajiayo,0,0,382828503
2020-08-19 13:18:25,1296074038565957633,1, lo_victoria2666,0,0,382828503
2020-08-19 13:18:25,1296074038565957633,1, hashnode,0,0,382828503
2020-08-19 13:07:26,1296071276155543552,1,geekmaros,1,0,1011169684639666177
2020-08-19 13:07:26,1296071276155543552,1, iambolajiayo,1,0,1011169684639666177
2020-08-19 13:07:26,1296071276155543552,1, lo_victoria2666,1,0,1011169684639666177
2020-08-19 13:07:26,1296071276155543552,1, hashnode,1,0,1011169684639666177
2020-08-19 12:43:21,1296065214060744705,1,paulienuh,1,0,257053728
2020-08-19 12:43:21,1296065214060744705,1, dan_spratling,1,0,257053728
