created_at,emojis,id,likes_count,replies_count,retweets_count,user_id
2020-08-18 17:16:54,🌎,1295771668435144704,0,0,0,270903669
2020-08-18 17:16:54,⚡,1295771668435144704,0,0,0,270903669
2020-08-18 17:16:54,⚙,1295771668435144704,0,0,0,270903669
2020-08-18 17:16:54,🎉,1295771668435144704,0,0,0,270903669
2020-08-18 16:42:52,👀,1295763102336770049,2,0,0,633958151
2020-08-18 16:28:08,🤝,1295759396430131200,4,1,0,811086947003355136
2020-08-18 15:53:35,😎,1295750699985199104,5,0,0,31463371
2020-08-18 14:33:12,🎉,1295730471419154433,2,1,0,1079791187932921856
2020-08-18 14:33:12,🎊,1295730471419154433,2,1,0,1079791187932921856
2020-08-18 14:05:46,🎉,1295723566529470464,1,1,0,47876374
2020-08-18 13:56:41,😂,1295721279736209424,0,0,0,795073342558457857
2020-08-18 13:47:13,😂,1295718899535806465,1,1,0,19941139
2020-08-18 13:33:45,🌎,1295715511297290246,0,0,0,888601770301247489
2020-08-18 13:33:45,⚡,1295715511297290246,0,0,0,888601770301247489
2020-08-18 13:33:45,⚙,1295715511297290246,0,0,0,888601770301247489
2020-08-18 13:33:45,🎉,1295715511297290246,0,0,0,888601770301247489
2020-08-18 13:11:19,💕,1295709863314690048,3,0,2,1248566054718181382
2020-08-18 13:08:23,🎉,1295709127453421568,1,0,0,1699229995
2020-08-18 13:08:23,🎈,1295709127453421568,1,0,0,1699229995
2020-08-18 13:08:23,🍾,1295709127453421568,1,0,0,1699229995
2020-08-18 13:08:23,🎊,1295709127453421568,1,0,0,1699229995
2020-08-18 12:52:25,😍,1295705107242180609,6,1,0,1177056539892473856
2020-08-18 12:52:25,🎉,1295705107242180609,6,1,0,1177056539892473856
2020-08-18 12:47:00,🔥,1295703745225986048,5,1,0,1070067620932710402
2020-08-18 12:44:05,🙏,1295703012074110977,26,0,3,92261165
2020-08-18 12:43:10,🔥,1295702780322164740,5,2,0,941062524761341952
2020-08-18 12:43:10,💯,1295702780322164740,5,2,0,941062524761341952
2020-08-18 12:39:43,💪,1295701910708781056,0,0,0,763755919
2020-08-18 12:20:20,🚀,1295697035367243776,1,1,0,1255475046241447938
2020-08-18 12:18:20,🙏,1295696532298256384,1,1,0,763755919
2020-08-18 11:40:13,🌎,1295686937173532673,1,0,0,1248566054718181382
2020-08-18 11:40:13,⚡,1295686937173532673,1,0,0,1248566054718181382
2020-08-18 11:40:13,⚙,1295686937173532673,1,0,0,1248566054718181382
2020-08-18 11:40:13,🎉,1295686937173532673,1,0,0,1248566054718181382
2020-08-18 11:29:24,🥰,1295684218144653312,1,0,0,763755919
2020-08-18 11:22:36,🎉,1295682504788238336,0,0,0,212412322
2020-08-18 11:18:48,🌎,1295681549887770627,0,0,0,1101522952372269056
2020-08-18 11:18:48,⚡,1295681549887770627,0,0,0,1101522952372269056
2020-08-18 11:18:48,⚙,1295681549887770627,0,0,0,1101522952372269056
2020-08-18 11:18:48,🎉,1295681549887770627,0,0,0,1101522952372269056
2020-08-18 10:51:27,😂,1295674664455471106,1,0,0,1254772026344001538
2020-08-18 10:09:23,🌎,1295664079483187202,1,0,0,1186326249456582656
2020-08-18 10:09:23,⚡,1295664079483187202,1,0,0,1186326249456582656
2020-08-18 10:09:23,⚙,1295664079483187202,1,0,0,1186326249456582656
2020-08-18 10:09:23,🎉,1295664079483187202,1,0,0,1186326249456582656
2020-08-18 09:46:31,😍,1295658326282338304,96,2,5,887600911270412288
2020-08-18 09:46:31,😂,1295658326282338304,96,2,5,887600911270412288
2020-08-18 09:07:57,🏾,1295648619438182400,1,0,0,890634172716527616
2020-08-18 09:07:57,🤲,1295648619438182400,1,0,0,890634172716527616
2020-08-18 09:00:37,🥳,1295646773487296512,1,1,0,1059654052257116161
2020-08-18 09:00:37,🔥,1295646773487296512,1,1,0,1059654052257116161
2020-08-18 09:00:37,🎉,1295646773487296512,1,1,0,1059654052257116161
2020-08-18 08:30:40,🔥,1295639235983155200,35,1,9,107991290
2020-08-18 08:07:24,🎉,1295633380936159232,0,1,0,966354327282569216
2020-08-18 07:40:34,🌎,1295626629633290240,4,1,0,1091448312
2020-08-18 07:40:34,⚡,1295626629633290240,4,1,0,1091448312
2020-08-18 07:12:57,🙏,1295619678035943424,0,0,0,173057927
2020-08-18 07:01:46,🎈,1295616862441680897,20,2,0,860707444489674752
2020-08-18 07:01:46,🎁,1295616862441680897,20,2,0,860707444489674752
