created_at,hashtags,id,likes_count,replies_count,retweets_count,user_id
2020-08-19 14:15:02, #testingdiscussion,1296088289108275201,0,0,0,66627682
2020-08-19 13:57:51,#angular,1296083962574512128,5,2,2,240691155
2020-08-19 13:57:51, #bulma,1296083962574512128,5,2,2,240691155
2020-08-19 13:57:51, #ngxbulma,1296083962574512128,5,2,2,240691155
2020-08-19 13:57:51, #navbar,1296083962574512128,5,2,2,240691155
2020-08-19 13:35:43,#gcp,1296078393658802183,11,1,3,924756476
2020-08-19 13:35:43, #linux,1296078393658802183,11,1,3,924756476
2020-08-19 13:35:43, #vm,1296078393658802183,11,1,3,924756476
2020-08-19 13:35:43, #cloudcomputing,1296078393658802183,11,1,3,924756476
2020-08-19 13:35:43, #cloud,1296078393658802183,11,1,3,924756476
2020-08-19 11:53:42,#design,1296052720571383811,3,0,0,860707444489674752
2020-08-19 11:53:42, #motivation,1296052720571383811,3,0,0,860707444489674752
2020-08-19 11:53:42, #creativity,1296052720571383811,3,0,0,860707444489674752
2020-08-19 11:30:30,#dependencyinjection,1296046882729451522,11,0,3,2512092564
2020-08-19 11:30:30, #android,1296046882729451522,11,0,3,2512092564
2020-08-19 11:30:30, #softwaredevelopment,1296046882729451522,11,0,3,2512092564
2020-08-19 11:30:30, #androiddevelopment,1296046882729451522,11,0,3,2512092564
2020-08-19 11:06:58,#css,1296040959298252800,3,0,0,1288066061535809536
2020-08-19 11:06:58, #codenewbie,1296040959298252800,3,0,0,1288066061535809536
2020-08-19 11:06:58, #code,1296040959298252800,3,0,0,1288066061535809536
2020-08-19 11:06:58, #blog,1296040959298252800,3,0,0,1288066061535809536
2020-08-19 11:06:58, #100daysofcode,1296040959298252800,3,0,0,1288066061535809536
2020-08-19 11:06:58, #webdevelopment,1296040959298252800,3,0,0,1288066061535809536
2020-08-19 11:06:58, #webdesign,1296040959298252800,3,0,0,1288066061535809536
2020-08-19 11:06:58, #webdevelopers,1296040959298252800,3,0,0,1288066061535809536
2020-08-19 11:06:58, #html5,1296040959298252800,3,0,0,1288066061535809536
2020-08-19 11:02:31,#nodejs,1296039839729680384,18,2,19,763755919
2020-08-19 11:02:31, #javascript,1296039839729680384,18,2,19,763755919
2020-08-19 11:02:31, #express,1296039839729680384,18,2,19,763755919
2020-08-19 11:02:31, #beginners,1296039839729680384,18,2,19,763755919
2020-08-19 11:02:31, #webdevelopment,1296039839729680384,18,2,19,763755919
2020-08-19 10:33:36,#2articles1week,1296032561286782976,24,3,4,1058744590658887680
2020-08-19 08:02:56,#httpwwwnatickhighwebdesigncomandersonfall2017html,1295994647186231304,1,0,0,729673836266967040
2020-08-19 08:02:56, #poem,1295994647186231304,1,0,0,729673836266967040
2020-08-19 08:02:56, #2articles1week,1295994647186231304,1,0,0,729673836266967040
2020-08-19 08:02:56, #article3,1295994647186231304,1,0,0,729673836266967040
2020-08-19 07:39:27,#2articles1week,1295988734790434818,4,0,0,1240923669339213824
